mph,lat,lon,bz_vz,bz_sp
49.71,42.330585,-83.887372,131.952,144.022
49.088,42.330585,-83.887372,84.319,111.679
48.467,42.330585,-83.887372,80.811,108.336
48.467,42.330513,-83.88737,82.088,54.4
47.224,42.330513,-83.88737,81.576,116.919
47.224,42.330513,-83.88737,53.759,114.477
47.224,42.330433,-83.887368,87.422,123.558
47.846,42.330433,-83.887368,71.253,50.121
47.846,42.330433,-83.887368,67.484,116.637
47.846,42.330433,-83.887368,84.935,113.468
47.846,42.330433,-83.887368,85.789,117.063
47.846,42.330433,-83.887368,79.105,117.1
47.224,42.33035,-83.887367,50.054,83.536
47.224,42.33035,-83.887367,54.219,48.483
46.603,42.33035,-83.887367,101.979,80.112
46.603,42.330262,-83.887365,85.602,48.57
46.603,42.330262,-83.887365,186.279,111.577
45.36,42.330262,-83.887365,132.801,114.806
45.36,42.330172,-83.887358,86.132,56.881
45.36,42.330172,-83.887358,82.318,53.27
45.981,42.330172,-83.887358,169.216,138.139
45.981,42.33008,-83.887355,83.408,80.811
45.36,42.33008,-83.887355,82.454,63.776
45.36,42.33008,-83.887355,87.02,121.352
45.36,42.329983,-83.887353,85.832,115.888
45.36,42.329983,-83.887353,77.172,123.668
45.36,42.329983,-83.887353,59.676,53.762
45.36,42.329983,-83.887353,84.766,118.953
44.739,42.329983,-83.887353,86.213,148.806
44.739,42.329983,-83.887353,59.823,113.965
44.739,42.329882,-83.887353,88.863,82.512
45.36,42.329882,-83.887353,87.268,69.473
45.36,42.329882,-83.887353,83.117,146.126
45.981,42.329775,-83.887353,85.861,103.451
45.981,42.329775,-83.887353,85.342,130.143
45.981,42.329775,-83.887353,81.442,56.295
45.36,42.329662,-83.887352,76.859,131.513
45.36,42.329662,-83.887352,82.971,79.321
44.739,42.329662,-83.887352,90.049,67.934
44.117,42.329543,-83.887348,81.607,141.312
43.496,42.329543,-83.887348,85.769,57.595
42.875,42.329543,-83.887348,85.894,71.36
42.875,42.329418,-83.887347,94.213,127.778
42.875,42.329418,-83.887347,79.507,132.162
43.496,42.329418,-83.887347,71.014,133.016
44.117,42.329418,-83.887347,89.366,78.971
44.739,42.329418,-83.887347,97.575,131.965
44.739,42.329418,-83.887347,79.633,144.523
44.739,42.329293,-83.887343,71.667,122.265
44.117,42.329293,-83.887343,82.388,67.754
43.496,42.329293,-83.887343,86.532,128.964
43.496,42.329167,-83.887342,81.459,120.224
43.496,42.329167,-83.887342,57.2,115.503
43.496,42.329167,-83.887342,88.62,62.115
43.496,42.329035,-83.887342,86.137,78.964
42.875,42.329035,-83.887342,81.503,71.035
42.875,42.329035,-83.887342,83.51,77.989
43.496,42.328898,-83.887342,92.413,61.322
44.117,42.328898,-83.887342,82.255,115.037
44.739,42.328898,-83.887342,128.885,171.845
44.739,42.328758,-83.887342,82.471,65.717
44.117,42.328758,-83.887342,80.979,122.192
42.875,42.328758,-83.887342,80.713,120.15
